Zakres, Czas trwania, Liczba iteracji
1000000,0.137,1000
900000,0.128,1000
700000,0.101,1000
500000,0.074,1000
300000,0.04,1000
200000,0.036,1000
100000,0.009,1000
50000,0.005,1000
20000,0.002,1000
10000,0.001,1000
10000,0.0007,10000
5000,0.0008,10000
2000,0.0001,10000
1000,0.0003,10000
10000,0.0005,10000
5000,0.0002,10000
2000,0.0003,10000
1000,0,100000
500,3e-005,100000
100,0,1e+006
50,2e-006,1e+006
10,2e-006,1e+006
1000,8e-005,100000
500,3e-005,100000
100,0,1e+006
100,3e-006,1e+006
50,2e-006,1e+006
10,1e-006,1e+006
300000,0.0405,2000
200000,0.029,2000
100000,0.012,2000
50000,0.004,2000
20000,0.0035,2000